,keywords_top_n,keywords_min_threshold,synonyms_top_n,synonyms_min_threshold,true_positive,false_positive,false_negative,true_negative,total
230,5,0.1,5,0.6,772,4888,1,8199,13860
231,5,0.1,5,0.5,772,5000,1,8087,13860
234,5,0.1,8,0.6,772,5790,1,7297,13860
235,5,0.1,8,0.5,772,6077,1,7010,13860
238,5,0.1,10,0.6,772,6203,1,6884,13860
239,5,0.1,10,0.5,772,6615,1,6472,13860
310,8,0.1,5,0.6,772,6046,1,7041,13860
311,8,0.1,5,0.5,772,6169,1,6918,13860
314,8,0.1,8,0.6,772,7090,1,5997,13860
315,8,0.1,8,0.5,772,7387,1,5700,13860
318,8,0.1,10,0.6,772,7527,1,5560,13860
319,8,0.1,10,0.5,772,7941,1,5146,13860
390,10,0.1,5,0.6,772,6216,1,6871,13860
391,10,0.1,5,0.5,772,6343,1,6744,13860
394,10,0.1,8,0.6,772,7265,1,5822,13860
395,10,0.1,8,0.5,772,7552,1,5535,13860
398,10,0.1,10,0.6,772,7693,1,5394,13860
399,10,0.1,10,0.5,772,8095,1,4992,13860
226,5,0.1,3,0.6,770,3967,3,9120,13860
227,5,0.1,3,0.5,770,4026,3,9061,13860
306,8,0.1,3,0.6,770,4990,3,8097,13860
307,8,0.1,3,0.5,770,5047,3,8040,13860
386,10,0.1,3,0.6,770,5157,3,7930,13860
387,10,0.1,3,0.5,770,5213,3,7874,13860
155,3,0.1,8,0.5,768,3710,5,9377,13860
158,3,0.1,10,0.6,768,3791,5,9296,13860
159,3,0.1,10,0.5,768,4144,5,8943,13860
225,5,0.1,3,0.7,768,3541,5,9546,13860
229,5,0.1,5,0.7,768,3873,5,9214,13860
233,5,0.1,8,0.7,768,4206,5,8881,13860
237,5,0.1,10,0.7,768,4296,5,8791,13860
304,8,0.1,3,0.8,768,3525,5,9562,13860
305,8,0.1,3,0.7,768,4520,5,8567,13860
308,8,0.1,5,0.8,768,3579,5,9508,13860
309,8,0.1,5,0.7,768,4985,5,8102,13860
312,8,0.1,8,0.8,768,3612,5,9475,13860
313,8,0.1,8,0.7,768,5432,5,7655,13860
316,8,0.1,10,0.8,768,3623,5,9464,13860
317,8,0.1,10,0.7,768,5557,5,7530,13860
384,10,0.1,3,0.8,768,3669,5,9418,13860
385,10,0.1,3,0.7,768,4688,5,8399,13860
388,10,0.1,5,0.8,768,3730,5,9357,13860
389,10,0.1,5,0.7,768,5166,5,7921,13860
